customer_id,email,age,tenure_months,monthly_charges,annual_income,outstanding_debt,credit_score,support_tickets_90d,plan,contract_type,payment_method,region,churned
CUST100082,user82@example.com,27.0,74.5,33.97,61071.0,25727.0,705.0,2,basic,one-year,credit_card,south,0
CUST100083,user83@example.com,58.0,5.3,91.54,70350.0,31315.0,534.0,1,premium,month-to-month,e_check,west,1
CUST100084,user84@example.com,33.0,2.7,38.26,44621.0,2918.0,737.0,3,standard,month-to-month,mailed_check,east,0
CUST100085,user85@example.com,36.0,94.8,96.96,46773.0,3135.0,512.0,2,family,month-to-month,e_check,south,0
CUST100086,user86@example.com,19.0,28.0,124.86,79817.0,39404.0,562.0,0,basic,one-year,mailed_check,west,0
CUST100087,user87@example.com,48.0,11.1,57.51,63170.0,29144.0,710.0,0,premium,month-to-month,bank_transfer,east,1
CUST100088,user88@example.com,42.0,5.2,50.67,52108.0,21939.0,732.0,1,standard,month-to-month,credit_card,east,1
CUST100089,user89@example.com,48.0,29.9,65.32,42413.0,8038.0,607.0,4,premium,two-year,e_check,east,0
CUST100090,user90@example.com,32.0,20.3,94.85,73336.0,13378.0,718.0,3,standard,one-year,e_check,south,0
CUST100091,user91@example.com,50.0,18.0,47.15,50273.0,2987.0,624.0,1,premium,month-to-month,mailed_check,east,0
CUST100092,user92@example.com,59.0,2.1,16.26,17086.0,3336.0,519.0,3,basic,one-year,credit_card,west,1
CUST100093,user93@example.com,18.0,43.3,98.18,14823.0,8752.0,599.0,3,standard,one-year,e_check,east,0
CUST100094,user94@example.com,47.0,23.9,70.49,39551.0,11723.0,538.0,0,standard,month-to-month,bank_transfer,south,0
CUST100095,user95@example.com,24.0,5.6,64.2,35250.0,4093.0,649.0,2,premium,one-year,credit_card,north,1
CUST100096,user96@example.com,47.0,8.2,71.27,56451.0,19965.0,672.0,3,premium,month-to-month,e_check,south,1
CUST100097,user97@example.com,55.0,38.2,49.36,18145.0,7043.0,684.0,6,premium,one-year,e_check,south,0
CUST100098,user98@example.com,30.0,71.6,65.05,56289.0,12350.0,543.0,2,basic,two-year,credit_card,west,0
CUST100099,user99@example.com,32.0,30.4,76.4,35755.0,4372.0,685.0,2,premium,month-to-month,credit_card,north,0
CUST100100,user100@example.com,44.0,13.8,81.99,75956.0,25009.0,695.0,1,premium,two-year,mailed_check,north,0
CUST100101,user101@example.com,42.0,4.0,70.64,40049.0,19821.0,757.0,4,premium,month-to-month,bank_transfer,south,1
CUST100102,user102@example.com,26.0,4.4,10.0,72870.0,21498.0,605.0,1,basic,month-to-month,credit_card,west,0
CUST100103,user103@example.com,35.0,19.0,61.68,53626.0,21619.0,564.0,2,premium,month-to-month,mailed_check,south,0
CUST100104,user104@example.com,33.0,17.6,70.98,45361.0,6610.0,585.0,3,premium,month-to-month,bank_transfer,south,1
CUST100105,user105@example.com,39.0,25.3,73.07,29482.0,4799.0,665.0,5,premium,month-to-month,bank_transfer,south,0
CUST100106,user106@example.com,63.0,11.6,58.96,38890.0,3398.0,647.0,0,premium,month-to-month,e_check,north,1
CUST100107,user107@example.com,44.0,27.7,118.71,82426.0,38701.0,635.0,1,family,two-year,mailed_check,north,0
CUST100108,user108@example.com,29.0,5.0,58.51,53021.0,15721.0,604.0,1,standard,one-year,credit_card,east,0
CUST100109,user109@example.com,45.0,14.0,80.84,37721.0,17009.0,698.0,3,standard,month-to-month,bank_transfer,south,1
CUST100110,user110@example.com,39.0,25.5,58.08,61155.0,33811.0,693.0,1,basic,month-to-month,e_check,north,1
CUST100111,user111@example.com,59.0,8.9,81.46,45317.0,3551.0,628.0,4,premium,one-year,bank_transfer,west,1
CUST100112,user112@example.com,37.0,8.3,32.69,40712.0,12328.0,837.0,3,premium,two-year,mailed_check,north,0
CUST100113,user113@example.com,38.0,55.0,107.41,46429.0,10438.0,543.0,1,standard,month-to-month,e_check,east,1
CUST100114,user114@example.com,55.0,116.4,78.03,74078.0,15927.0,607.0,3,family,two-year,bank_transfer,south,0
CUST100115,user115@example.com,32.0,10.4,56.4,54177.0,11466.0,569.0,1,premium,month-to-month,e_check,south,1
CUST100116,user116@example.com,28.0,1.5,59.59,68856.0,25374.0,588.0,1,premium,month-to-month,e_check,north,1
CUST100117,user117@example.com,45.0,10.5,51.19,46171.0,20877.0,630.0,2,family,one-year,e_check,west,0
CUST100118,user118@example.com,44.0,19.4,60.75,42484.0,22572.0,675.0,1,premium,two-year,credit_card,south,1
CUST100119,user119@example.com,26.0,32.0,69.12,84160.0,15327.0,652.0,1,premium,month-to-month,bank_transfer,west,1
CUST100120,user120@example.com,18.0,41.8,55.59,33521.0,17784.0,850.0,0,premium,two-year,bank_transfer,south,0
CUST100121,user121@example.com,46.0,7.9,88.0,48532.0,17345.0,520.0,2,premium,month-to-month,credit_card,south,1
CUST100122,user122@example.com,46.0,103.8,125.2,77240.0,9229.0,621.0,1,standard,two-year,credit_card,east,0
CUST100123,user123@example.com,48.0,56.1,64.04,45659.0,7322.0,701.0,1,premium,two-year,bank_transfer,west,0
CUST100124,user124@example.com,54.0,3.0,13.89,92009.0,51793.0,426.0,2,standard,month-to-month,credit_card,east,1
CUST100125,user125@example.com,43.0,37.0,60.98,37086.0,13376.0,708.0,0,basic,two-year,e_check,north,0
CUST100126,user126@example.com,40.0,97.6,67.01,67642.0,17915.0,762.0,0,premium,month-to-month,bank_transfer,west,0
CUST100127,user127@example.com,51.0,14.5,88.56,89114.0,22385.0,623.0,0,family,month-to-month,credit_card,west,1
CUST100128,user128@example.com,43.0,37.4,51.92,58760.0,29447.0,595.0,3,family,month-to-month,e_check,north,0
CUST100129,user129@example.com,24.0,13.4,52.36,63123.0,30091.0,610.0,0,basic,month-to-month,credit_card,north,0
CUST100130,user130@example.com,45.0,23.4,51.72,71510.0,4571.0,677.0,1,family,one-year,e_check,south,0
CUST100131,user131@example.com,50.0,59.2,37.5,12000.0,5610.0,661.0,0,standard,month-to-month,mailed_check,west,1
CUST100132,user132@example.com,31.0,30.3,25.1,83559.0,17669.0,698.0,3,standard,month-to-month,bank_transfer,west,0
CUST100133,user133@example.com,63.0,11.8,71.77,61817.0,5993.0,583.0,3,family,two-year,bank_transfer,east,1
CUST100134,user134@example.com,38.0,72.7,33.43,56210.0,23379.0,723.0,1,standard,one-year,credit_card,west,0
CUST100135,user135@example.com,55.0,56.4,62.04,58132.0,27904.0,640.0,1,premium,month-to-month,e_check,south,0
CUST100136,user136@example.com,30.0,0.3,85.95,14069.0,7745.0,850.0,3,basic,month-to-month,e_check,north,0
CUST100137,user137@example.com,52.0,8.2,46.73,73101.0,36896.0,569.0,2,premium,one-year,credit_card,west,0
CUST100138,user138@example.com,58.0,18.2,98.24,62508.0,10810.0,763.0,2,basic,one-year,e_check,south,1
CUST100139,user139@example.com,32.0,41.9,51.36,35867.0,8408.0,593.0,0,basic,month-to-month,mailed_check,west,0
CUST100140,user140@example.com,45.0,24.1,31.58,63219.0,32333.0,549.0,2,premium,month-to-month,mailed_check,east,0
CUST100141,user141@example.com,39.0,21.6,59.22,65926.0,22096.0,648.0,3,family,one-year,mailed_check,east,0
CUST100142,user142@example.com,30.0,88.6,78.2,43924.0,11825.0,555.0,3,premium,two-year,mailed_check,west,0
CUST100143,user143@example.com,43.0,0.2,89.67,80529.0,11559.0,679.0,1,premium,month-to-month,credit_card,east,1
CUST100144,user144@example.com,38.0,14.7,79.15,52527.0,4816.0,729.0,3,family,month-to-month,bank_transfer,south,1
CUST100145,user145@example.com,39.0,53.8,113.79,49437.0,23880.0,612.0,4,premium,month-to-month,credit_card,east,0
CUST100146,user146@example.com,28.0,88.6,74.58,68402.0,12929.0,583.0,3,premium,one-year,bank_transfer,east,0
CUST100147,user147@example.com,52.0,2.2,56.51,37606.0,16376.0,728.0,2,family,one-year,e_check,east,1
CUST100148,user148@example.com,37.0,2.4,68.39,45681.0,14276.0,568.0,2,premium,one-year,e_check,north,0
CUST100149,user149@example.com,38.0,13.1,37.26,32042.0,4726.0,526.0,2,family,month-to-month,credit_card,west,1
CUST100150,user150@example.com,29.0,32.1,90.69,51503.0,6706.0,721.0,0,family,one-year,bank_transfer,east,0
CUST100151,user151@example.com,55.0,29.2,35.16,48372.0,10109.0,665.0,2,premium,one-year,bank_transfer,north,0
CUST100152,user152@example.com,26.0,4.3,43.9,57595.0,2927.0,646.0,2,premium,month-to-month,mailed_check,east,1
CUST100153,user153@example.com,23.0,11.2,66.38,75383.0,38008.0,575.0,1,family,month-to-month,mailed_check,north,0
CUST100154,user154@example.com,44.0,30.9,46.04,68597.0,11957.0,703.0,1,family,month-to-month,e_check,west,1
CUST100155,user155@example.com,36.0,3.0,79.11,57577.0,31610.0,710.0,0,premium,month-to-month,mailed_check,east,1
CUST100156,user156@example.com,50.0,0.0,77.06,80755.0,21729.0,494.0,1,premium,one-year,bank_transfer,south,0
CUST100157,user157@example.com,61.0,32.7,87.95,42547.0,14960.0,850.0,0,premium,one-year,mailed_check,west,0
CUST100158,user158@example.com,57.0,12.6,84.27,64900.0,16856.0,539.0,2,standard,two-year,bank_transfer,north,1
CUST100159,user159@example.com,53.0,47.1,75.46,73303.0,11101.0,597.0,2,family,month-to-month,mailed_check,east,1
CUST100160,user160@example.com,31.0,9.6,67.83,92853.0,18475.0,612.0,3,premium,one-year,bank_transfer,south,1
CUST100161,user161@example.com,55.0,9.2,87.43,57924.0,24021.0,489.0,3,standard,two-year,bank_transfer,east,0
CUST100162,user162@example.com,37.0,29.1,69.89,47247.0,19266.0,572.0,1,family,month-to-month,credit_card,north,1
CUST100163,user163@example.com,28.0,44.5,104.91,55309.0,19623.0,601.0,2,standard,month-to-month,mailed_check,west,0
CUST100164,user164@example.com,49.0,20.0,92.27,56320.0,8933.0,619.0,1,family,two-year,credit_card,east,0
CUST100165,user165@example.com,37.0,13.2,63.11,41540.0,7138.0,586.0,0,standard,month-to-month,bank_transfer,east,1
CUST100166,user166@example.com,40.0,2.8,99.62,55388.0,2771.0,742.0,2,family,month-to-month,mailed_check,west,0
CUST100167,user167@example.com,50.0,9.6,107.53,90462.0,51692.0,676.0,1,basic,month-to-month,e_check,north,0
CUST100168,user168@example.com,51.0,0.3,122.93,21446.0,6990.0,724.0,3,standard,two-year,e_check,south,1
CUST100169,user169@example.com,38.0,6.5,98.32,12000.0,3321.0,623.0,1,standard,month-to-month,bank_transfer,north,1
CUST100170,user170@example.com,44.0,17.1,43.27,24664.0,3891.0,704.0,2,family,month-to-month,e_check,east,1
CUST100171,user171@example.com,53.0,12.9,46.04,36352.0,15826.0,666.0,1,premium,month-to-month,e_check,south,1
CUST100172,user172@example.com,33.0,6.2,43.72,31155.0,2871.0,710.0,0,standard,two-year,bank_transfer,south,0
CUST100173,user173@example.com,23.0,37.2,95.12,38849.0,8076.0,566.0,1,family,month-to-month,e_check,west,0
CUST100174,user174@example.com,36.0,20.7,133.5,34343.0,6900.0,744.0,2,standard,month-to-month,mailed_check,east,1
CUST100175,user175@example.com,38.0,12.0,79.13,64014.0,37708.0,665.0,0,premium,month-to-month,bank_transfer,east,1
CUST100176,user176@example.com,40.0,17.4,71.06,36108.0,13351.0,653.0,0,basic,month-to-month,e_check,south,0
CUST100177,user177@example.com,69.0,1.4,82.56,31909.0,13819.0,761.0,0,family,one-year,e_check,east,0
CUST100178,user178@example.com,33.0,10.7,84.22,15880.0,7701.0,627.0,4,family,month-to-month,mailed_check,west,1
CUST100179,user179@example.com,40.0,36.5,101.64,74900.0,29768.0,621.0,2,premium,one-year,e_check,south,1
CUST100180,user180@example.com,32.0,0.2,55.34,81792.0,17034.0,756.0,0,premium,month-to-month,e_check,south,0
CUST100181,user181@example.com,45.0,8.2,81.43,60088.0,22408.0,619.0,0,family,month-to-month,e_check,east,0
CUST100182,user182@example.com,48.0,12.8,90.45,57545.0,3664.0,634.0,1,standard,one-year,bank_transfer,south,0
CUST100183,user183@example.com,51.0,14.5,76.32,68167.0,18147.0,529.0,0,premium,month-to-month,mailed_check,east,1
CUST100184,user184@example.com,45.0,17.5,30.93,71277.0,8439.0,576.0,1,family,two-year,bank_transfer,south,0
CUST100185,user185@example.com,43.0,46.6,22.92,31901.0,2257.0,731.0,5,premium,one-year,mailed_check,west,0
CUST100186,user186@example.com,18.0,12.8,35.49,50031.0,19681.0,670.0,2,standard,one-year,credit_card,north,0
CUST100187,user187@example.com,51.0,46.6,97.71,74588.0,31573.0,563.0,2,standard,month-to-month,bank_transfer,west,0
CUST100188,user188@example.com,59.0,11.5,109.35,44132.0,19427.0,603.0,0,premium,two-year,credit_card,south,0
CUST100189,user189@example.com,33.0,4.3,42.49,58155.0,13100.0,575.0,2,family,two-year,mailed_check,west,0
CUST100190,user190@example.com,32.0,9.5,90.35,79241.0,13064.0,679.0,1,standard,month-to-month,e_check,east,0
CUST100191,user191@example.com,29.0,95.0,19.1,102848.0,55546.0,687.0,1,basic,one-year,mailed_check,east,0
CUST100192,user192@example.com,49.0,29.2,54.51,74713.0,44040.0,601.0,2,family,two-year,credit_card,east,0
CUST100193,user193@example.com,28.0,32.8,79.24,29641.0,15038.0,565.0,1,premium,one-year,mailed_check,east,0
CUST100194,user194@example.com,40.0,5.4,90.98,41103.0,23848.0,516.0,2,premium,month-to-month,bank_transfer,south,1
CUST100195,user195@example.com,24.0,6.2,53.09,79247.0,12127.0,766.0,2,premium,month-to-month,bank_transfer,west,1
CUST100196,user196@example.com,47.0,7.5,67.36,40064.0,19527.0,628.0,1,premium,month-to-month,bank_transfer,east,1
CUST100197,user197@example.com,37.0,5.2,68.25,72420.0,8947.0,694.0,2,basic,two-year,e_check,south,1
CUST100198,user198@example.com,45.0,62.8,36.63,89436.0,15733.0,565.0,1,premium,month-to-month,e_check,west,0
CUST100199,user199@example.com,32.0,0.5,96.26,76361.0,7369.0,621.0,2,family,one-year,bank_transfer,south,1
CUST100200,user200@example.com,33.0,1.9,74.83,90863.0,47499.0,557.0,0,basic,two-year,bank_transfer,west,0
CUST100201,user201@example.com,35.0,0.8,50.06,32224.0,2128.0,701.0,1,premium,one-year,bank_transfer,north,0
CUST100202,user202@example.com,32.0,22.9,68.39,16213.0,1671.0,712.0,3,family,month-to-month,mailed_check,north,0
CUST100203,user203@example.com,31.0,9.5,97.48,39274.0,9496.0,714.0,2,premium,month-to-month,e_check,east,1
CUST100204,user204@example.com,27.0,55.8,49.88,55093.0,31330.0,586.0,4,standard,two-year,mailed_check,west,0
CUST100205,user205@example.com,48.0,28.6,41.26,36735.0,16298.0,658.0,1,standard,two-year,credit_card,east,0
CUST100206,user206@example.com,46.0,9.9,42.34,39414.0,7104.0,552.0,0,standard,one-year,e_check,east,1
CUST100207,user207@example.com,37.0,24.5,130.04,52131.0,11842.0,660.0,3,premium,month-to-month,credit_card,south,0
CUST100208,user208@example.com,51.0,11.8,92.22,45729.0,8957.0,712.0,2,premium,one-year,credit_card,south,0
CUST100209,user209@example.com,60.0,8.7,45.54,71677.0,30427.0,618.0,5,premium,one-year,e_check,north,1
CUST100210,user210@example.com,34.0,6.2,72.81,55286.0,32190.0,638.0,1,premium,month-to-month,e_check,west,1
CUST100211,user211@example.com,45.0,1.2,76.33,43135.0,9533.0,573.0,0,premium,month-to-month,bank_transfer,south,1
CUST100212,user212@example.com,45.0,14.8,71.44,74080.0,8982.0,583.0,1,basic,one-year,bank_transfer,west,1
CUST100213,user213@example.com,34.0,1.4,55.73,112147.0,48722.0,584.0,3,family,one-year,credit_card,east,0
CUST100214,user214@example.com,26.0,34.6,35.12,64200.0,20053.0,592.0,3,standard,month-to-month,bank_transfer,east,0
CUST100215,user215@example.com,71.0,20.2,51.85,44273.0,19157.0,727.0,3,premium,month-to-month,mailed_check,east,0
CUST100216,user216@example.com,46.0,50.7,57.16,21768.0,11301.0,592.0,0,family,month-to-month,bank_transfer,east,0
CUST100217,user217@example.com,42.0,12.3,90.69,49491.0,23064.0,648.0,2,standard,one-year,mailed_check,west,1
CUST100218,user218@example.com,46.0,37.0,74.26,31041.0,10587.0,715.0,1,premium,two-year,mailed_check,south,1
CUST100219,user219@example.com,71.0,100.6,83.91,64982.0,35984.0,674.0,3,standard,month-to-month,bank_transfer,south,0
CUST100220,user220@example.com,39.0,19.9,41.85,88455.0,17351.0,850.0,3,premium,month-to-month,bank_transfer,east,0
CUST100221,user221@example.com,43.0,21.1,63.72,37699.0,16086.0,704.0,1,premium,month-to-month,e_check,south,0
CUST100222,user222@example.com,43.0,46.2,96.34,43217.0,12642.0,624.0,4,premium,two-year,credit_card,north,1
CUST100223,user223@example.com,55.0,14.6,38.13,69233.0,19040.0,535.0,1,premium,one-year,mailed_check,west,0
CUST100224,user224@example.com,45.0,12.0,112.26,40296.0,15279.0,745.0,0,family,one-year,bank_transfer,south,1
CUST100225,user225@example.com,23.0,8.2,72.84,19835.0,2550.0,614.0,2,premium,month-to-month,bank_transfer,south,1
CUST100226,user226@example.com,21.0,25.2,86.19,78673.0,8076.0,586.0,2,family,one-year,bank_transfer,north,0
CUST100227,user227@example.com,54.0,5.2,22.38,26858.0,6610.0,575.0,2,premium,month-to-month,credit_card,east,0
CUST100228,user228@example.com,45.0,1.2,88.06,52964.0,26259.0,560.0,1,standard,one-year,e_check,west,0
CUST100229,user229@example.com,38.0,57.9,48.27,51967.0,18898.0,631.0,1,standard,month-to-month,e_check,east,0
CUST100230,user230@example.com,32.0,17.9,71.87,46110.0,25539.0,608.0,1,premium,one-year,mailed_check,north,1
CUST100231,user231@example.com,63.0,107.5,40.08,66781.0,17292.0,665.0,1,family,month-to-month,bank_transfer,north,0
CUST100232,user232@example.com,45.0,8.4,95.12,24103.0,5903.0,827.0,2,premium,two-year,mailed_check,south,1
CUST100233,user233@example.com,48.0,14.8,43.62,61731.0,25933.0,655.0,5,standard,month-to-month,bank_transfer,west,1
CUST100234,user234@example.com,52.0,17.2,81.82,37506.0,18358.0,789.0,3,basic,month-to-month,mailed_check,north,0
CUST100235,user235@example.com,47.0,7.7,79.08,55594.0,8779.0,624.0,1,family,month-to-month,mailed_check,west,1
CUST100236,user236@example.com,37.0,19.1,76.81,38036.0,7325.0,632.0,1,standard,month-to-month,mailed_check,west,0
