customer_id,email,age,tenure_months,monthly_charges,annual_income,outstanding_debt,credit_score,support_tickets_90d,plan,contract_type,payment_method,region,churned,last_invoice_status
CUST100028,user28@example.com,47.0,3.5,103.89,22449.0,8416.0,608.0,1,family,month-to-month,e_check,south,1,overdue
CUST100029,user29@example.com,47.0,29.0,59.33,71160.0,14601.0,,1,family,month-to-month,mailed_check,north,1,overdue
CUST100030,user30@example.com,68.0,4.0,87.84,43455.0,14930.0,628.0,2,basic,month-to-month,credit_card,north,0,paid
CUST100031,user31@example.com,37.0,5.6,70.86,76253.0,23538.0,652.0,1,standard,month-to-month,bank_transfer,north,0,paid
CUST100032,user32@example.com,36.0,13.1,96.57,54632.0,10735.0,672.0,0,standard,two-year,e_check,south,1,unpaid
CUST100033,user33@example.com,32.0,13.2,74.79,49456.0,22634.0,,3,premium,one-year,bank_transfer,west,0,paid
CUST100034,user34@example.com,49.0,11.5,46.7,82264.0,34318.0,,2,family,month-to-month,bank_transfer,east,1,unpaid
CUST100035,user35@example.com,56.0,41.8,71.41,28947.0,12278.0,665.0,0,basic,month-to-month,bank_transfer,west,1,overdue
CUST100036,user36@example.com,41.0,8.5,110.03,83684.0,24140.0,691.0,1,standard,month-to-month,mailed_check,east,0,paid
CUST100037,user37@example.com,32.0,50.1,82.44,42213.0,9461.0,644.0,0,standard,two-year,credit_card,north,0,paid
CUST100038,user38@example.com,32.0,21.3,67.09,58247.0,21837.0,579.0,0,family,month-to-month,mailed_check,south,0,paid
CUST100039,user39@example.com,50.0,19.5,126.39,58436.0,33747.0,657.0,0,premium,month-to-month,bank_transfer,south,1,overdue
CUST100040,user40@example.com,51.0,22.8,98.98,46458.0,13411.0,704.0,1,premium,month-to-month,credit_card,east,0,paid
CUST100041,user41@example.com,49.0,5.6,90.42,39758.0,16535.0,543.0,1,premium,one-year,bank_transfer,east,1,overdue
CUST100042,user42@example.com,34.0,22.1,77.93,47604.0,13962.0,544.0,0,family,two-year,e_check,west,1,overdue
CUST100043,user43@example.com,45.0,39.6,88.26,34709.0,19539.0,597.0,0,family,month-to-month,mailed_check,east,0,paid
CUST100044,user44@example.com,43.0,27.1,89.07,94239.0,18433.0,635.0,1,basic,month-to-month,mailed_check,east,1,overdue
CUST100045,user45@example.com,45.0,2.3,15.43,45377.0,13709.0,474.0,1,family,one-year,bank_transfer,south,0,paid
CUST100046,user46@example.com,52.0,11.4,79.87,78179.0,25135.0,696.0,0,standard,month-to-month,credit_card,north,0,paid
CUST100047,user47@example.com,45.0,0.7,65.98,75543.0,34052.0,635.0,0,basic,two-year,credit_card,south,0,paid
CUST100048,user48@example.com,50.0,10.7,57.51,62259.0,27812.0,462.0,4,standard,month-to-month,mailed_check,east,1,overdue
CUST100049,user49@example.com,43.0,3.7,65.11,52286.0,23879.0,561.0,2,standard,two-year,bank_transfer,west,0,paid
CUST100050,user50@example.com,45.0,14.8,31.1,58876.0,26678.0,626.0,3,standard,month-to-month,e_check,east,0,paid
CUST100051,user51@example.com,50.0,0.8,24.88,66443.0,20489.0,508.0,0,standard,one-year,mailed_check,north,0,overdue
CUST100052,user52@example.com,25.0,65.5,101.16,57009.0,7728.0,728.0,1,standard,one-year,bank_transfer,north,0,paid
CUST100053,user53@example.com,38.0,9.4,81.55,23665.0,12513.0,665.0,0,standard,month-to-month,mailed_check,west,1,overdue
CUST100054,user54@example.com,36.0,34.6,10.0,18634.0,4261.0,704.0,0,basic,month-to-month,bank_transfer,west,0,paid
CUST100055,user55@example.com,34.0,6.0,55.59,85180.0,9427.0,568.0,2,premium,one-year,e_check,south,1,overdue
CUST100056,user56@example.com,39.0,30.5,92.01,12000.0,1450.0,683.0,1,standard,one-year,credit_card,south,0,overdue
CUST100057,user57@example.com,60.0,10.3,63.0,58914.0,18977.0,597.0,1,premium,month-to-month,e_check,north,0,paid
CUST100058,user58@example.com,32.0,23.0,101.13,50300.0,14299.0,635.0,1,standard,month-to-month,e_check,west,0,paid
CUST100059,user59@example.com,54.0,65.8,96.24,58216.0,24156.0,678.0,0,family,month-to-month,e_check,west,1,overdue
CUST100060,user60@example.com,22.0,26.2,36.08,32201.0,12446.0,644.0,2,premium,month-to-month,mailed_check,east,1,overdue
CUST100061,user61@example.com,38.0,3.4,66.42,62014.0,6764.0,715.0,2,standard,one-year,mailed_check,west,0,paid
CUST100062,user62@example.com,44.0,53.8,58.8,59120.0,12605.0,661.0,4,basic,month-to-month,e_check,north,0,paid
CUST100063,user63@example.com,49.0,31.8,35.27,110220.0,59843.0,613.0,1,standard,month-to-month,bank_transfer,west,0,paid
CUST100064,user64@example.com,51.0,47.1,33.64,57600.0,27168.0,717.0,0,standard,month-to-month,credit_card,west,0,paid
CUST100065,user65@example.com,52.0,54.6,49.85,81965.0,43343.0,734.0,0,standard,two-year,mailed_check,east,0,paid
CUST100066,user66@example.com,38.0,7.3,53.98,25026.0,1554.0,657.0,0,premium,month-to-month,credit_card,east,0,paid
CUST100067,user67@example.com,36.0,9.6,77.08,75402.0,41595.0,757.0,3,family,one-year,mailed_check,east,0,paid
CUST100068,user68@example.com,52.0,34.5,96.11,59525.0,31167.0,631.0,1,standard,two-year,e_check,south,0,paid
CUST100069,user69@example.com,40.0,1.4,82.84,60395.0,18043.0,640.0,2,basic,one-year,credit_card,south,0,paid
CUST100070,user70@example.com,27.0,9.1,88.76,60671.0,25511.0,650.0,2,premium,month-to-month,bank_transfer,east,1,overdue
CUST100071,user71@example.com,28.0,10.4,63.33,89127.0,17789.0,640.0,2,basic,one-year,bank_transfer,south,1,overdue
CUST100072,user72@example.com,31.0,48.3,85.08,60102.0,24775.0,625.0,2,standard,two-year,bank_transfer,west,0,paid
CUST100073,user73@example.com,48.0,68.4,66.29,39318.0,19239.0,593.0,3,basic,month-to-month,e_check,west,1,unpaid
CUST100074,user74@example.com,44.0,3.8,58.96,42681.0,13485.0,,2,standard,two-year,bank_transfer,east,1,unpaid
CUST100075,user75@example.com,50.0,16.5,117.43,71343.0,4677.0,659.0,1,standard,one-year,credit_card,east,1,overdue
CUST100076,user76@example.com,37.0,31.5,11.74,63949.0,17841.0,746.0,3,premium,one-year,bank_transfer,north,0,paid
CUST100077,user77@example.com,44.0,10.0,23.17,24391.0,10945.0,715.0,1,premium,month-to-month,bank_transfer,south,1,overdue
CUST100078,user78@example.com,50.0,18.2,79.57,65293.0,28537.0,681.0,4,standard,month-to-month,bank_transfer,west,1,overdue
CUST100079,user79@example.com,38.0,6.2,63.38,33353.0,10589.0,750.0,2,premium,month-to-month,bank_transfer,east,1,overdue
CUST100080,user80@example.com,47.0,34.9,34.08,63765.0,37758.0,652.0,0,standard,one-year,mailed_check,north,0,paid
CUST100081,user81@example.com,34.0,34.1,43.63,38889.0,4448.0,571.0,4,standard,two-year,mailed_check,south,0,paid
CUST100082,user82@example.com,38.0,13.5,46.89,49370.0,6767.0,622.0,2,basic,month-to-month,credit_card,east,1,overdue
CUST100083,user83@example.com,37.0,10.3,92.31,44104.0,8471.0,645.0,6,standard,one-year,e_check,west,1,unpaid
CUST100084,user84@example.com,28.0,7.4,683.137671834929,85378.0,42002.0,609.0,3,premium,one-year,bank_transfer,east,1,overdue
CUST100085,user85@example.com,48.0,1.8,110.99,63037.0,29599.0,699.0,0,standard,month-to-month,e_check,south,1,unpaid
CUST100086,user86@example.com,36.0,19.5,30.27,80222.0,38107.0,725.0,1,premium,one-year,bank_transfer,north,1,overdue
CUST100087,user87@example.com,42.0,49.9,35.82,112904.0,60267.0,511.0,2,family,month-to-month,bank_transfer,north,0,paid
CUST100088,user88@example.com,48.0,3.1,34.11,55936.0,16423.0,638.0,1,family,month-to-month,bank_transfer,east,0,paid
CUST100089,user89@example.com,47.0,12.7,102.22,85040.0,19152.0,418.0,2,family,month-to-month,e_check,north,1,overdue
CUST100090,user90@example.com,50.0,51.2,80.43,41011.0,15593.0,643.0,0,premium,month-to-month,mailed_check,east,0,paid
CUST100091,user91@example.com,41.0,40.4,72.0,80098.0,22061.0,642.0,0,family,month-to-month,mailed_check,west,0,paid
CUST100092,user92@example.com,37.0,31.1,75.74,38850.0,13136.0,792.0,5,standard,month-to-month,mailed_check,east,0,paid
CUST100093,user93@example.com,41.0,0.4,68.58,54632.0,6945.0,768.0,1,basic,one-year,credit_card,south,0,overdue
CUST100094,user94@example.com,22.0,27.0,41.97,65738.0,17618.0,725.0,1,premium,two-year,mailed_check,north,0,paid
CUST100095,user95@example.com,25.0,8.5,82.83,68885.0,21351.0,573.0,0,basic,one-year,e_check,west,1,unpaid
CUST100096,user96@example.com,26.0,34.4,65.35,,2899.0,569.0,0,standard,one-year,bank_transfer,north,0,paid
CUST100097,user97@example.com,30.0,6.0,39.99,37660.0,22482.0,562.0,0,family,one-year,credit_card,north,1,overdue
CUST100098,user98@example.com,47.0,0.1,84.36,67229.0,4759.0,772.0,2,premium,two-year,e_check,east,1,unpaid
CUST100099,user99@example.com,31.0,16.8,59.36,47646.0,26478.0,577.0,1,basic,one-year,mailed_check,north,1,overdue
CUST100100,user100@example.com,37.0,8.2,75.69,27053.0,2546.0,619.0,4,basic,month-to-month,bank_transfer,west,0,paid
CUST100101,user101@example.com,58.0,21.1,66.88,53580.0,28002.0,578.0,1,standard,month-to-month,e_check,west,1,unpaid
CUST100102,user102@example.com,38.0,7.8,92.28,52621.0,18498.0,549.0,0,premium,month-to-month,e_check,north,0,paid
CUST100103,user103@example.com,51.0,35.9,75.5,58538.0,9248.0,,3,premium,two-year,e_check,south,0,paid
CUST100104,user104@example.com,31.0,16.6,47.91,65585.0,11624.0,662.0,0,premium,one-year,bank_transfer,west,1,unpaid
CUST100105,user105@example.com,40.0,7.0,78.05,64313.0,15653.0,472.0,2,basic,month-to-month,bank_transfer,east,1,overdue
CUST100106,user106@example.com,31.0,30.3,78.87,39637.0,19292.0,546.0,1,premium,month-to-month,bank_transfer,north,0,paid
CUST100107,user107@example.com,38.0,57.2,82.78,46783.0,6125.0,670.0,0,standard,two-year,mailed_check,east,0,paid
CUST100108,user108@example.com,52.0,54.7,95.9,73556.0,13477.0,644.0,0,standard,one-year,credit_card,east,0,paid
CUST100109,user109@example.com,21.0,91.4,54.6,44136.0,19022.0,618.0,0,family,month-to-month,bank_transfer,east,0,paid
CUST100110,user110@example.com,47.0,28.3,86.7,47098.0,18260.0,698.0,1,standard,month-to-month,mailed_check,west,0,paid
CUST100111,user111@example.com,45.0,22.7,26.88,24915.0,7012.0,535.0,0,basic,month-to-month,mailed_check,east,1,overdue
CUST100112,user112@example.com,35.0,1.9,67.0,54426.0,4533.0,602.0,3,basic,two-year,credit_card,west,0,paid
CUST100113,user113@example.com,25.0,6.1,63.13,61905.0,22111.0,,2,standard,one-year,credit_card,east,1,overdue
CUST100114,user114@example.com,43.0,8.7,106.2,15490.0,2727.0,598.0,0,standard,month-to-month,credit_card,north,1,overdue
CUST100115,user115@example.com,36.0,18.5,66.09,33595.0,12990.0,675.0,2,family,month-to-month,bank_transfer,east,1,overdue
CUST100116,user116@example.com,45.0,41.4,85.2,26565.0,5339.0,558.0,0,standard,month-to-month,credit_card,south,0,paid
CUST100117,user117@example.com,42.0,14.6,25.96,70767.0,41695.0,584.0,2,standard,month-to-month,credit_card,south,0,paid
CUST100118,user118@example.com,61.0,6.9,61.21,16753.0,6279.0,507.0,1,premium,month-to-month,e_check,east,1,overdue
CUST100119,user119@example.com,39.0,12.0,48.84,53426.0,19459.0,485.0,0,premium,one-year,credit_card,east,1,overdue
CUST100120,user120@example.com,30.0,0.9,131.89,69357.0,35388.0,612.0,1,family,month-to-month,bank_transfer,south,1,unpaid
CUST100121,user121@example.com,44.0,7.3,53.33,58756.0,35033.0,686.0,2,standard,two-year,bank_transfer,north,0,paid
CUST100122,user122@example.com,45.0,1.0,71.83,46201.0,22109.0,,1,family,two-year,e_check,north,1,overdue
CUST100123,user123@example.com,58.0,17.5,73.16,61929.0,23325.0,743.0,1,standard,month-to-month,mailed_check,south,0,paid
CUST100124,user124@example.com,52.0,62.9,30.26,75739.0,39759.0,619.0,0,basic,month-to-month,bank_transfer,east,0,paid
CUST100125,user125@example.com,46.0,13.1,56.85,52848.0,7909.0,480.0,1,basic,month-to-month,e_check,north,1,overdue
CUST100126,user126@example.com,60.0,33.7,80.12,12000.0,5644.0,678.0,0,standard,month-to-month,e_check,west,0,paid
CUST100127,user127@example.com,28.0,28.0,72.14,77955.0,33048.0,564.0,3,premium,one-year,e_check,west,1,overdue
CUST100128,user128@example.com,34.0,23.2,12.49,63005.0,22669.0,660.0,0,basic,two-year,bank_transfer,east,0,paid
CUST100129,user129@example.com,31.0,43.1,55.83,54338.0,28621.0,467.0,0,standard,month-to-month,credit_card,east,0,paid
CUST100130,user130@example.com,37.0,20.3,95.52,15393.0,6778.0,628.0,1,basic,two-year,credit_card,east,1,overdue
CUST100131,user131@example.com,25.0,23.4,84.71,49034.0,21781.0,706.0,1,standard,two-year,mailed_check,north,0,paid
CUST100132,user132@example.com,50.0,10.0,100.45,37490.0,20633.0,696.0,3,basic,one-year,bank_transfer,south,1,overdue
CUST100133,user133@example.com,39.0,32.6,45.36,30674.0,13333.0,630.0,0,family,month-to-month,bank_transfer,west,0,paid
CUST100134,user134@example.com,24.0,5.1,102.02,52271.0,9957.0,646.0,0,family,two-year,mailed_check,west,1,unpaid
CUST100135,user135@example.com,30.0,30.0,68.89,44281.0,6686.0,610.0,0,premium,month-to-month,e_check,south,0,paid
CUST100136,user136@example.com,46.0,92.3,109.81,45598.0,15150.0,626.0,2,basic,two-year,mailed_check,south,0,paid
CUST100137,user137@example.com,52.0,7.2,70.08,69793.0,12507.0,700.0,1,family,month-to-month,mailed_check,north,0,paid
CUST100138,user138@example.com,66.0,32.5,18.81,60111.0,26136.0,590.0,1,basic,month-to-month,credit_card,north,0,paid
CUST100139,user139@example.com,77.0,33.8,91.23,45090.0,23153.0,598.0,1,basic,month-to-month,credit_card,north,1,overdue
CUST100140,user140@example.com,47.0,1.8,58.91,42552.0,8957.0,524.0,0,basic,month-to-month,credit_card,south,1,overdue
CUST100141,user141@example.com,30.0,26.9,60.59,45903.0,25357.0,702.0,4,basic,month-to-month,bank_transfer,east,1,overdue
CUST100142,user142@example.com,18.0,17.2,33.67,,23063.0,624.0,1,basic,month-to-month,mailed_check,south,0,paid
CUST100143,user143@example.com,45.0,15.2,110.55,66681.0,39574.0,549.0,0,basic,one-year,mailed_check,north,1,overdue
CUST100144,user144@example.com,32.0,50.0,56.97,34149.0,5439.0,716.0,3,basic,month-to-month,mailed_check,west,0,paid
CUST100145,user145@example.com,37.0,9.3,109.38,84169.0,25575.0,642.0,3,premium,one-year,credit_card,east,1,unpaid
CUST100146,user146@example.com,35.0,92.5,59.22,66695.0,26823.0,586.0,2,family,one-year,e_check,west,1,unpaid
CUST100147,user147@example.com,40.0,17.1,46.81,12000.0,5635.0,717.0,4,family,two-year,bank_transfer,west,0,paid
CUST100148,user148@example.com,55.0,1.9,102.99,56707.0,31277.0,618.0,0,premium,two-year,credit_card,west,0,paid
CUST100149,user149@example.com,44.0,2.3,68.17,75815.0,40955.0,520.0,1,standard,month-to-month,mailed_check,south,1,overdue
CUST100150,user150@example.com,40.0,41.4,68.41,62774.0,11291.0,722.0,1,standard,month-to-month,bank_transfer,east,0,paid
CUST100151,user151@example.com,30.0,34.9,37.96,46753.0,13201.0,578.0,2,family,month-to-month,credit_card,west,1,overdue
CUST100152,user152@example.com,22.0,28.9,58.56,53778.0,23935.0,850.0,1,basic,month-to-month,bank_transfer,west,1,unpaid
CUST100153,user153@example.com,36.0,2.2,80.72,58566.0,7190.0,610.0,1,premium,month-to-month,e_check,north,1,overdue
CUST100154,user154@example.com,41.0,24.2,37.52,70392.0,40662.0,484.0,0,basic,two-year,e_check,west,0,paid
CUST100155,user155@example.com,63.0,120.0,56.52,26698.0,12303.0,786.0,2,basic,one-year,e_check,east,0,paid
CUST100156,user156@example.com,44.0,34.4,59.49,42900.0,21701.0,641.0,2,standard,two-year,bank_transfer,north,1,overdue
CUST100157,user157@example.com,54.0,6.9,71.66,87772.0,48195.0,666.0,4,premium,month-to-month,credit_card,west,1,overdue
CUST100158,user158@example.com,36.0,35.9,106.99,55659.0,8230.0,676.0,1,family,two-year,e_check,west,0,paid
CUST100159,user159@example.com,28.0,1.7,62.5,85558.0,24142.0,537.0,1,basic,one-year,credit_card,east,1,unpaid
CUST100160,user160@example.com,30.0,8.8,52.74,114712.0,46850.0,472.0,1,basic,month-to-month,bank_transfer,south,1,unpaid
CUST100161,user161@example.com,33.0,57.2,138.66,45159.0,22686.0,802.0,1,premium,month-to-month,mailed_check,west,1,unpaid
CUST100162,user162@example.com,68.0,37.1,59.17,31054.0,14158.0,521.0,1,standard,one-year,credit_card,east,1,overdue
CUST100163,user163@example.com,32.0,36.1,65.23,,5806.0,777.0,3,basic,month-to-month,credit_card,east,0,paid
CUST100164,user164@example.com,52.0,25.3,61.05,76980.0,31186.0,688.0,0,standard,month-to-month,bank_transfer,north,0,paid
CUST100165,user165@example.com,31.0,48.7,63.08,79778.0,16891.0,660.0,0,premium,two-year,mailed_check,north,1,overdue
CUST100166,user166@example.com,53.0,8.2,71.94,100440.0,27478.0,608.0,3,premium,month-to-month,credit_card,south,0,paid
CUST100167,user167@example.com,47.0,66.3,93.02,54264.0,32386.0,830.0,1,premium,month-to-month,mailed_check,west,0,paid
CUST100168,user168@example.com,40.0,37.3,80.1,64761.0,8832.0,590.0,4,basic,month-to-month,e_check,east,1,overdue
CUST100169,user169@example.com,42.0,2.1,96.93,40765.0,4378.0,592.0,2,basic,one-year,credit_card,north,0,paid
CUST100170,user170@example.com,34.0,40.2,96.1,12000.0,3300.0,700.0,0,basic,one-year,mailed_check,west,0,paid
CUST100171,user171@example.com,47.0,20.1,75.21,54207.0,28473.0,592.0,3,basic,two-year,bank_transfer,west,1,overdue
CUST100172,user172@example.com,37.0,19.6,79.41,31925.0,4444.0,565.0,2,standard,one-year,credit_card,north,0,paid
CUST100173,user173@example.com,27.0,40.9,97.72,67867.0,6378.0,641.0,2,standard,two-year,e_check,north,0,paid
CUST100174,user174@example.com,27.0,10.7,42.22,17372.0,4871.0,701.0,3,standard,one-year,e_check,south,1,overdue
CUST100175,user175@example.com,44.0,1.9,132.46,40213.0,15995.0,796.0,2,standard,month-to-month,e_check,south,1,overdue
CUST100176,user176@example.com,61.0,77.8,57.19,60354.0,8153.0,812.0,3,basic,one-year,bank_transfer,west,1,overdue
CUST100177,user177@example.com,44.0,77.8,61.23,62447.0,30757.0,503.0,6,family,month-to-month,e_check,east,0,paid
CUST100178,user178@example.com,41.0,35.8,39.7,54051.0,27850.0,729.0,1,standard,one-year,e_check,south,0,paid
CUST100179,user179@example.com,45.0,37.0,40.45,92347.0,31160.0,567.0,1,standard,month-to-month,bank_transfer,east,1,overdue
CUST100180,user180@example.com,58.0,38.8,94.35,86389.0,5767.0,571.0,0,basic,month-to-month,bank_transfer,east,0,paid
CUST100181,user181@example.com,45.0,118.2,126.75,41313.0,13793.0,603.0,2,basic,month-to-month,mailed_check,east,1,unpaid
CUST100182,user182@example.com,37.0,2.2,55.82,87188.0,14630.0,598.0,2,premium,one-year,bank_transfer,east,1,overdue
CUST100183,user183@example.com,55.0,1.2,78.68,90244.0,26654.0,560.0,1,standard,two-year,mailed_check,north,0,paid
CUST100184,user184@example.com,47.0,7.6,75.5,52522.0,24573.0,460.0,1,basic,one-year,bank_transfer,west,1,overdue
CUST100185,user185@example.com,60.0,21.7,95.01,55908.0,4469.0,762.0,1,basic,month-to-month,e_check,south,1,overdue
CUST100186,user186@example.com,44.0,34.5,125.47,,2704.0,718.0,0,family,two-year,bank_transfer,west,1,unpaid
CUST100187,user187@example.com,27.0,17.7,108.02,42100.0,5195.0,645.0,2,standard,month-to-month,bank_transfer,east,0,paid
CUST100188,user188@example.com,26.0,26.8,64.03,44087.0,3304.0,568.0,1,basic,month-to-month,mailed_check,east,0,paid
CUST100189,user189@example.com,62.0,14.4,83.22,81386.0,15726.0,745.0,0,premium,month-to-month,credit_card,south,1,overdue
CUST100190,user190@example.com,63.0,15.4,85.7,63748.0,17361.0,641.0,0,family,month-to-month,bank_transfer,west,1,unpaid
CUST100191,user191@example.com,40.0,11.0,69.5,43916.0,21029.0,,1,premium,month-to-month,e_check,south,1,overdue
CUST100192,user192@example.com,37.0,22.4,42.6,36480.0,2432.0,514.0,2,standard,month-to-month,credit_card,south,0,overdue
CUST100193,user193@example.com,60.0,3.2,50.03,39838.0,9682.0,689.0,1,premium,month-to-month,credit_card,north,0,paid
CUST100194,user194@example.com,29.0,2.0,98.7,51723.0,29027.0,619.0,1,basic,month-to-month,bank_transfer,north,1,unpaid
CUST100195,user195@example.com,31.0,16.6,101.28,73263.0,26888.0,667.0,2,standard,month-to-month,credit_card,east,1,overdue
CUST100196,user196@example.com,50.0,10.5,64.81,37798.0,19078.0,659.0,2,basic,month-to-month,credit_card,south,1,overdue
CUST100197,user197@example.com,37.0,10.6,76.53,,23074.0,697.0,1,basic,month-to-month,credit_card,south,1,overdue
CUST100198,user198@example.com,42.0,55.6,99.93,58939.0,6099.0,663.0,3,standard,one-year,mailed_check,east,1,unpaid
CUST100199,user199@example.com,40.0,120.0,27.39,57857.0,8841.0,622.0,3,basic,one-year,mailed_check,north,0,paid
CUST100200,user200@example.com,46.0,23.1,58.84,75516.0,35262.0,690.0,2,premium,one-year,e_check,west,0,paid
CUST100201,user201@example.com,59.0,4.2,120.45,71867.0,37749.0,722.0,2,standard,month-to-month,e_check,east,1,overdue
CUST100202,user202@example.com,43.0,36.8,77.48,26910.0,8265.0,770.0,1,standard,month-to-month,bank_transfer,west,0,paid
CUST100203,user203@example.com,50.0,19.7,41.77,33320.0,10691.0,556.0,3,standard,one-year,mailed_check,south,0,overdue
CUST100204,user204@example.com,18.0,34.1,72.93,50410.0,15000.0,735.0,5,premium,month-to-month,bank_transfer,south,1,unpaid
CUST100205,user205@example.com,41.0,24.1,95.54,62119.0,3733.0,519.0,2,standard,month-to-month,credit_card,east,1,overdue
CUST100206,user206@example.com,32.0,2.8,10.0,82292.0,8437.0,727.0,0,premium,month-to-month,credit_card,north,0,paid
CUST100207,user207@example.com,27.0,25.5,74.41,56301.0,33530.0,599.0,0,basic,two-year,bank_transfer,north,0,paid
CUST100208,user208@example.com,31.0,24.8,60.69,89074.0,6512.0,713.0,3,standard,month-to-month,e_check,east,0,paid
CUST100209,user209@example.com,38.0,87.0,28.95,40866.0,9887.0,765.0,3,standard,month-to-month,e_check,north,0,paid
CUST100210,user210@example.com,53.0,57.5,72.05,44248.0,19021.0,664.0,1,basic,month-to-month,bank_transfer,west,0,paid
CUST100211,user211@example.com,26.0,104.4,66.59,48886.0,13867.0,646.0,0,basic,month-to-month,mailed_check,south,0,paid
CUST100212,user212@example.com,42.0,68.5,69.4,38655.0,22825.0,642.0,2,standard,two-year,bank_transfer,east,0,overdue
CUST100213,user213@example.com,36.0,2.9,61.29,78188.0,5317.0,612.0,4,standard,month-to-month,e_check,west,1,unpaid
CUST100214,user214@example.com,38.0,1.6,44.47,12000.0,6372.0,740.0,1,premium,two-year,credit_card,north,0,paid
CUST100215,user215@example.com,54.0,50.2,33.63,44929.0,5576.0,641.0,1,premium,two-year,credit_card,north,0,paid
CUST100216,user216@example.com,48.0,36.5,52.73,77964.0,12681.0,476.0,1,standard,month-to-month,mailed_check,north,0,overdue
CUST100217,user217@example.com,58.0,2.3,91.48,48754.0,16604.0,721.0,2,standard,month-to-month,e_check,south,1,overdue
CUST100218,user218@example.com,40.0,3.4,75.83,76458.0,40469.0,717.0,1,standard,month-to-month,e_check,east,1,overdue
CUST100219,user219@example.com,34.0,30.4,68.27,98954.0,27484.0,653.0,1,family,one-year,bank_transfer,west,1,overdue
CUST100220,user220@example.com,39.0,14.3,44.01,56608.0,11971.0,,1,standard,month-to-month,e_check,south,0,paid
CUST100221,user221@example.com,45.0,32.7,60.65,78379.0,21234.0,557.0,2,basic,month-to-month,credit_card,west,1,overdue
CUST100222,user222@example.com,44.0,10.3,88.43,103383.0,10534.0,587.0,1,premium,month-to-month,e_check,west,1,overdue
